# DM-e- with heavy mediator and EXCEED-DM
mass_ev,limit90CL_cm2
7.54374000e+05,3.45006309e-27
8.00000000e+05,2.06138438e-28
8.48575800e+05,1.47393562e-29
9.00000000e+05,1.70783078e-30
1.00000000e+06,7.77466851e-32
1.20000000e+06,2.12559444e-33
1.63780000e+06,3.06301598e-35
2.00000000e+06,4.00457528e-36
2.68269000e+06,3.31059069e-37
3.50000000e+06,6.58287065e-38
4.39397000e+06,2.90402491e-38
5.50000000e+06,1.59961103e-38
7.19680000e+06,9.46854383e-39
9.00000000e+06,7.26992384e-39
1.17876800e+07,6.39329992e-39
1.50000000e+07,5.99595207e-39
1.93069770e+07,5.97743567e-39
3.16227700e+07,7.05415580e-39
5.17947000e+07,9.74614584e-39
8.48342898e+07,1.43930638e-38
1.38949500e+08,2.26821812e-38
2.27584593e+08,3.54138641e-38
3.72759372e+08,5.69908481e-38
6.10540230e+08,9.14615450e-38
1.00000000e+09,1.51586947e-37
