# DM-e-	with ultralight mediator and EXCEED-DM
mass_ev,limit90CL_cm2
7.54374000e+05,2.99880593e-28
8.00000000e+05,2.06685998e-29
8.48575800e+05,1.91035001e-30
9.00000000e+05,2.61629119e-31
1.00000000e+06,1.83293794e-32
1.20000000e+06,9.01705628e-34
1.63780000e+06,3.56931666e-35
2.00000000e+06,8.13088739e-36
2.68269000e+06,1.45401853e-36
3.50000000e+06,4.39406335e-37
4.39397000e+06,2.33438911e-37
5.50000000e+06,1.60423396e-37
7.19680000e+06,1.20052848e-37
9.00000000e+06,1.03783193e-37
1.17876800e+07,9.67978135e-38
1.50000000e+07,9.93782375e-38
1.93069770e+07,1.06818559e-37
3.16227700e+07,1.39390065e-37
5.17947000e+07,2.00145930e-37
8.48342898e+07,3.01580380e-37
1.38949500e+08,4.70890981e-37
2.27584593e+08,7.55949943e-37
3.72759372e+08,1.20485166e-36
6.10540230e+08,1.98841297e-36
1.00000000e+09,3.19369721e-36
