# DM-nucleon with Migdal effect, heavy mediator
mass_ev,limit90CL_cm2
1.00000000e+06,2.03185487e-28
1.20000000e+06,1.65403589e-29
1.40000000e+06,3.36012385e-30
1.63780000e+06,8.33580674e-31
1.80000000e+06,4.01485835e-31
2.00000000e+06,1.89508593e-31
2.30000000e+06,7.48177266e-32
2.68269000e+06,2.77064448e-32
3.00000000e+06,1.37047222e-32
3.60000000e+06,5.29220787e-33
4.39397000e+06,2.28335820e-33
7.19680000e+06,3.73420532e-34
1.17876800e+07,9.97005270e-35
1.93069770e+07,3.60273904e-35
3.16227700e+07,1.63730828e-35
5.17947000e+07,8.40359280e-36
8.48342900e+07,4.36141360e-36
1.38949500e+08,2.30892548e-36
2.27584590e+08,1.17367380e-36
3.72759370e+08,5.61147642e-37
6.10540230e+08,2.54247455e-37
1.00000000e+09,1.03282375e-37
