# DM-nucleon with Migdal effect, light mediator
mass_ev,limit90_cm2
1.00000000e+06,2.33193010e-26
1.20000000e+06,1.72287100e-27
1.40000000e+06,3.22070128e-28
1.63780000e+06,7.64847970e-29
1.80000000e+06,3.59092864e-29
2.00000000e+06,1.54230611e-29
2.30000000e+06,5.87879998e-30
2.68269000e+06,2.03573188e-30
3.00000000e+06,9.87735147e-31
3.60000000e+06,3.35729362e-31
4.39397000e+06,1.29925341e-31
7.19680000e+06,1.66268106e-32
1.17876800e+07,2.96146059e-33
1.93069770e+07,7.92375991e-34
3.16227700e+07,2.59665668e-34
5.17947000e+07,1.00475165e-34
8.48342900e+07,4.22812263e-35
1.38949500e+08,1.86000707e-35
2.27584590e+08,8.16023658e-36
3.72759370e+08,3.41253055e-36
6.10540230e+08,1.32048639e-36
1.00000000e+09,4.51685098e-37
