# DM-e- with ultra-light mediator and QCDark
mass_ev,limit90CL_cm2
7.54374000e+05,2.83480939e-26
8.00000000e+05,3.46996559e-28
8.48575800e+05,1.12104440e-30
9.00000000e+05,7.52123907e-32
1.00000000e+06,8.41979652e-33
1.20000000e+06,4.60492601e-34
1.63780000e+06,2.83234241e-35
2.00000000e+06,8.18274325e-36
2.68269000e+06,1.58286583e-36
3.50000000e+06,4.66111326e-37
4.39397000e+06,2.48803837e-37
5.50000000e+06,1.71369577e-37
7.19680000e+06,1.28619260e-37
9.00000000e+06,1.11552319e-37
1.17876800e+07,1.03746496e-37
1.50000000e+07,1.07365377e-37
1.93069770e+07,1.15530782e-37
3.16227700e+07,1.49739234e-37
5.17947000e+07,2.18783758e-37
8.48342898e+07,3.30206863e-37
1.38949500e+08,5.24062130e-37
2.27584593e+08,8.16460214e-37
3.72759372e+08,1.36297353e-36
6.10540230e+08,2.14943256e-36
1.00000000e+09,3.55983325e-36
