# DM-e- with heavy mediator and QEDark
mass_ev,limit90CL_cm2
7.54374000e+05,2.85562611e-28
8.00000000e+05,6.59445316e-30
8.48575800e+05,4.81537554e-31
9.00000000e+05,6.62736121e-32
1.00000000e+06,5.95523915e-33
1.20000000e+06,3.43013988e-34
1.63780000e+06,9.97654225e-36
2.00000000e+06,1.69057754e-36
2.68269000e+06,1.76043993e-37
3.50000000e+06,3.89268521e-38
4.39397000e+06,1.83002399e-38
5.50000000e+06,9.95854594e-39
7.19680000e+06,6.22087070e-39
9.00000000e+06,5.13766421e-39
1.17876800e+07,4.55806429e-39
1.50000000e+07,4.57751675e-39
1.93069770e+07,4.90126366e-39
3.16227700e+07,6.49124844e-39
5.17947000e+07,9.30483080e-39
8.48342898e+07,1.42434835e-38
1.38949500e+08,2.20875416e-38
2.27584593e+08,3.50709658e-38
3.72759372e+08,5.72312346e-38
6.10540230e+08,8.95793010e-38
1.00000000e+09,1.49415737e-37
