# DM-e- with ultra-light mediator and QEDark
mass_ev,limit90CL_cm2
7.54374000e+05,2.76722075e-29
8.00000000e+05,6.28469583e-31
8.48575800e+05,6.17612610e-32
9.00000000e+05,1.07294863e-32
1.00000000e+06,1.15791059e-33
1.20000000e+06,1.11387485e-34
1.63780000e+06,7.83673706e-36
2.00000000e+06,2.40202708e-36
2.68269000e+06,5.87355120e-37
3.50000000e+06,2.04718397e-37
4.39397000e+06,1.21780693e-37
5.50000000e+06,8.91795077e-38
7.19680000e+06,6.91186162e-38
9.00000000e+06,6.11437571e-38
1.17876800e+07,5.87278412e-38
1.50000000e+07,6.05746011e-38
1.93069770e+07,6.60496850e-38
3.16227700e+07,8.66317830e-38
5.17947000e+07,1.26329934e-37
8.48342898e+07,1.89064652e-37
1.38949500e+08,2.92271132e-37
2.27584593e+08,4.69568498e-37
3.72759372e+08,7.60106084e-37
6.10540230e+08,1.21976426e-36
1.00000000e+09,1.98912601e-36
